Model,Accuracy,Precision,Recall,F1-Score,Technique,Components
Baseline_Random Forest,0.8498310983724024,0.8437868071014607,0.8498310983724024,0.8452062626634106,Original,14
Baseline_Logistic Regression,0.8245470365441704,0.8129935318239473,0.8245470365441704,0.8101774942225373,Original,14
Baseline_SVM,0.8458388780837343,0.8380037013495089,0.8458388780837343,0.8372972434074305,Original,14
PCA5_Random Forest,0.8101136247312929,0.7980926654094447,0.8101136247312929,0.8007573466751219,PCA-5,5
PCA5_Logistic Regression,0.8037670181185382,0.7868080094158065,0.8037670181185382,0.7838896718176384,PCA-5,5
PCA5_SVM,0.8139011157743884,0.800091209735461,0.8139011157743884,0.7945505994848163,PCA-5,5
PCA10_Random Forest,0.8313031016480704,0.8222826275149944,0.8313031016480704,0.823849689624701,PCA-10,10
PCA10_Logistic Regression,0.8185075237997748,0.8056144434997665,0.8185075237997748,0.8022524199386476,PCA-10,10
PCA10_SVM,0.8373426143924659,0.8282299325819501,0.8373426143924659,0.8258496231907223,PCA-10,10
PCA13_Random Forest,0.8326338417442932,0.8234127253252845,0.8326338417442932,0.8245633437860049,PCA-13,13
PCA13_Logistic Regression,0.8257754120176067,0.8145395483939506,0.8257754120176067,0.8111944107862463,PCA-13,13
PCA13_SVM,0.8454294195925888,0.8375242872891058,0.8454294195925888,0.8364550041777117,PCA-13,13
PCA14_Random Forest,0.8319172893847886,0.8231632209432852,0.8319172893847886,0.8248323439164589,PCA-14,14
PCA14_Logistic Regression,0.8244446719213839,0.8128697587602441,0.8244446719213839,0.810044383335916,PCA-14,14
PCA14_SVM,0.8458388780837343,0.8380037013495089,0.8458388780837343,0.8372972434074305,PCA-14,14
LDA_Random Forest,0.7438837137885147,0.7453761265787475,0.7438837137885147,0.744617218585599,LDA-1,1
LDA_Logistic Regression,0.8167673252124066,0.803592339369491,0.8167673252124066,0.8029079433631789,LDA-1,1
LDA_SVM,0.8159484082301157,0.8024437728874477,0.8159484082301157,0.8008746409638984,LDA-1,1
CHI25_Random Forest,0.8261848705087522,0.8209698117693545,0.8261848705087522,0.8230145309762742,CHI2-5,5
CHI25_Logistic Regression,0.8188146176681339,0.8063074545995772,0.8188146176681339,0.8007907917198014,CHI2-5,5
CHI25_SVM,0.8445081379875116,0.8366991109768436,0.8445081379875116,0.8336700973252575,CHI2-5,5
F_CLASSIF5_Random Forest,0.8269014228682567,0.8217341661766228,0.8269014228682567,0.8237588495406617,F_CLASSIF-5,5
F_CLASSIF5_Logistic Regression,0.8188146176681339,0.8063074545995772,0.8188146176681339,0.8007907917198014,F_CLASSIF-5,5
F_CLASSIF5_SVM,0.8445081379875116,0.8366991109768436,0.8445081379875116,0.8336700973252575,F_CLASSIF-5,5
CHI210_Random Forest,0.8369331559013206,0.8324441926546404,0.8369331559013206,0.8341929651191686,CHI2-10,10
CHI210_Logistic Regression,0.8241375780530249,0.8125346860026519,0.8241375780530249,0.809283598267826,CHI2-10,10
CHI210_SVM,0.8468625243115979,0.8391785081637563,0.8468625243115979,0.8385449918345346,CHI2-10,10
F_CLASSIF10_Random Forest,0.8368307912785341,0.8322130367016092,0.8368307912785341,0.8339927478685424,F_CLASSIF-10,10
F_CLASSIF10_Logistic Regression,0.8240352134302386,0.8124108218948879,0.8240352134302386,0.8091498699256562,F_CLASSIF-10,10
F_CLASSIF10_SVM,0.8468625243115979,0.839180838175064,0.8468625243115979,0.8385783355470156,F_CLASSIF-10,10
CHI213_Random Forest,0.8491145460128979,0.843220096327171,0.8491145460128979,0.8447334785427346,CHI2-13,13
CHI213_Logistic Regression,0.8250588596581021,0.8136373150274043,0.8250588596581021,0.8105749303944219,CHI2-13,13
CHI213_SVM,0.8458388780837343,0.8380001595213005,0.8458388780837343,0.8372295277724465,CHI2-13,13
F_CLASSIF13_Random Forest,0.8498310983724024,0.8438888399974481,0.8498310983724024,0.8453459292984046,F_CLASSIF-13,13
F_CLASSIF13_Logistic Regression,0.8250588596581021,0.8136373150274043,0.8250588596581021,0.8105749303944219,F_CLASSIF-13,13
F_CLASSIF13_SVM,0.8458388780837343,0.8380001595213005,0.8458388780837343,0.8372295277724465,F_CLASSIF-13,13
CHI214_Random Forest,0.8490121813901116,0.8430784371524427,0.8490121813901116,0.8445863625199416,CHI2-14,14
CHI214_Logistic Regression,0.8243423072985976,0.8127459435208056,0.8243423072985976,0.8099112313600983,CHI2-14,14
CHI214_SVM,0.8458388780837343,0.8380037013495089,0.8458388780837343,0.8372972434074305,CHI2-14,14
F_CLASSIF14_Random Forest,0.8498310983724024,0.8437868071014607,0.8498310983724024,0.8452062626634106,F_CLASSIF-14,14
F_CLASSIF14_Logistic Regression,0.8245470365441704,0.8129935318239473,0.8245470365441704,0.8101774942225373,F_CLASSIF-14,14
F_CLASSIF14_SVM,0.8458388780837343,0.8380037013495089,0.8458388780837343,0.8372972434074305,F_CLASSIF-14,14
